entname,unpaidsocialins_so110,unpaidsocialins_so210,unpaidsocialins_so310,unpaidsocialins_so410,unpaidsocialins_so510,updatetime
b9ce58cef388008f4c1f131a1c33922d,0.0,0.0,0.0,0.0,0.0,1497250000000.0
33ab4d8c8a36c803c982b58df010b071,0.0,0.0,0.0,0.0,0.0,1490410000000.0
7981bc59643c80825f8687ce35fc4264,0.0,0.0,0.0,0.0,0.0,1497320000000.0
904f8be964f183034a262cd2a2f1c3e8,0.0,0.0,0.0,0.0,0.0,1495610000000.0
0ee537da5e62092950ea56cfb69fa2e4,0.0,0.0,0.0,0.0,0.0,1497000000000.0
b1729ddabe65bec81e923987c7f236a9,0.0,0.0,0.0,0.0,0.0,1492750000000.0
d766b942ad9aff39cb637a0bfc8c36bc,0.0,0.0,0.0,0.0,0.0,1490250000000.0
1fa0ad11c040f30e528f638a954e167f,0.0,0.0,0.0,0.0,0.0,1498030000000.0
9e50c83fb56e903a5b59a7852addb933,0.0,0.0,0.0,0.0,0.0,1497420000000.0
352f706a95da52772a7e773501453091,0.0,0.0,0.0,0.0,0.0,1487660000000.0
c156856d51038d308483e569d3f00379,0.0,0.0,0.0,0.0,0.0,1496810000000.0
e6662b3c31196c9a5dc15e253772b955,0.0,0.0,0.0,0.0,0.0,1497260000000.0
7e0b44269e4ab24b000372cede9f81f0,0.0,0.0,0.0,0.0,0.0,1497760000000.0
20934b655027992d7802c18b3b4c19bb,0.0,0.0,0.0,0.0,0.0,1498800000000.0
be455af2bce85ad32f185f93c6661f83,0.0,0.0,0.0,0.0,0.0,1497670000000.0
434413d63e603cbbf906023c4f2a4229,0.0,0.0,0.0,0.0,0.0,1490140000000.0
b1c10128bc3f44744a729165827e87b7,0.0,0.0,0.0,0.0,0.0,1498650000000.0
6db1ebb6f3df03590fa0baee8b9133e8,0.0,0.0,0.0,0.0,0.0,1495420000000.0
eeedf3aa4d4628e3a61e31bcd63ba863,0.0,0.0,0.0,0.0,0.0,1497860000000.0
365e32ea4e5c7c2b9a18e92f87d36dfa,0.0,0.0,0.0,0.0,0.0,1495500000000.0
daee72793c011d0d3da27e99e67ee0ab,0.0,0.0,0.0,0.0,0.0,1497660000000.0
e7b817f04d839a8cc94282adc696a2ed,0.0,0.0,0.0,0.0,0.0,1498700000000.0
fbff5a34ebacce22ad0cfe2ec17c8efc,0.0,0.0,0.0,0.0,0.0,1496210000000.0
34270e8e55ad5a115cf447067d0bd607,0.0,0.0,0.0,0.0,0.0,1496670000000.0
edb10f5be451d493569047c65a92ba56,0.0,0.0,0.0,0.0,0.0,1493110000000.0
04abbc12d507a4ec8f7b9d060702c924,0.0,0.0,0.0,0.0,0.0,1495870000000.0
6ee1c0d2671af8d42ab59686f02858a5,0.0,0.0,0.0,0.0,0.0,1490740000000.0
ab1e7f0e40450ddf76e5db7df1ebe4f0,0.0,0.0,0.0,0.0,0.0,1498030000000.0
55124f4a9fb6d65fa623371437512613,0.0,0.0,0.0,0.0,0.0,1497000000000.0
35462142edce0c121bc71729ea76cc2a,0.0,0.0,0.0,0.0,0.0,1488250000000.0
72e5169b9403cba6bf336decc80290bc,0.0,0.0,0.0,0.0,0.0,1495160000000.0
d3f1db5bb55d134e251aa177d973e35d,0.0,0.0,0.0,0.0,0.0,1490180000000.0
4d559de8046d2d1f4446b5e14f46d6b0,0.0,0.0,0.0,0.0,0.0,1496200000000.0
13b7a24a7f37736cc9be6ab099e55eac,0.0,0.0,0.0,0.0,0.0,1498010000000.0
5dbbbb383b178b8bf472a451c272c51f,0.0,0.0,0.0,0.0,0.0,1496980000000.0
139b9d9cea00bf447f224020c524321b,0.0,0.0,0.0,0.0,0.0,1489810000000.0
51f491d50294e16a6218d4cbc96f838a,0.0,0.0,0.0,0.0,0.0,1490320000000.0
61a2d1ea3b8b57b6bc4e624f4504be19,0.0,0.0,0.0,0.0,0.0,1490840000000.0
421664398cbd982de685b6ded9bc1dd3,0.0,0.0,0.0,0.0,0.0,1491990000000.0
40925b9fb93ecc46393507330603eeae,0.0,0.0,0.0,0.0,0.0,1494990000000.0
a2881b0be1e00395521da4f014839473,0.0,0.0,0.0,0.0,0.0,1493970000000.0
0c52155162f1e3d1e1b9092aaeab70ae,0.0,0.0,0.0,0.0,0.0,1497530000000.0
a8882b06b089a803e02b1a918c5ba41a,0.0,0.0,0.0,0.0,0.0,1492070000000.0
55915981f9f137eed75a3919a49600cf,0.0,0.0,0.0,0.0,0.0,1496190000000.0
aa323dcffc4756b994fe043a889c3614,0.0,0.0,0.0,0.0,0.0,1490260000000.0
55c9daec3e520d44ee410af36343b0a0,0.0,0.0,0.0,0.0,0.0,1492230000000.0
4b44e731a6d83031c4f288158da751ab,0.0,0.0,0.0,0.0,0.0,1492050000000.0
224aa6a121f5de78ebb1d254b8454c40,0.0,0.0,0.0,0.0,0.0,1496210000000.0
e26034c53ef189a5f16e5fbd1ef94743,0.0,0.0,0.0,0.0,0.0,1493010000000.0
229aea856f45c573b0200566e23242a6,0.0,0.0,0.0,0.0,0.0,1497860000000.0
5e194d53d840dd7915b05ae2682293f9,0.0,0.0,0.0,0.0,0.0,1495430000000.0
a3cf63e0f2f081f08a1b7e02a3ddce3f,0.0,0.0,0.0,0.0,0.0,1487320000000.0
7278d5c46d6be1ba040f680687199d05,0.0,0.0,0.0,0.0,0.0,1495700000000.0
4c7a3563be3f59fb94a7353d542bee8b,0.0,0.0,0.0,0.0,0.0,1495100000000.0
217c5b16cead3750f8ad3c3f555d6bcf,0.0,0.0,0.0,0.0,0.0,1495680000000.0
2d714593d907e704ddc8f0d4a6ea8693,0.0,0.0,0.0,0.0,0.0,1497600000000.0
28afd498c856be9e3fb41e0321764736,0.0,0.0,0.0,0.0,0.0,1490670000000.0
ee63db00e59bc3a7b686fcc0c33365e5,0.0,0.0,0.0,0.0,0.0,1498620000000.0
678d8afdcb7e0a4aff4d570375b5e7f6,0.0,0.0,0.0,0.0,0.0,1493190000000.0
86908c1ad56d484d381e3b5e468110bc,0.0,0.0,0.0,0.0,0.0,1496300000000.0
383468f87b224e06879f193ae8a60728,0.0,0.0,0.0,0.0,0.0,1526520000000.0
d918c117b72ac2fdb2ba143ed6e35c64,0.0,0.0,0.0,0.0,0.0,1497260000000.0
adade630050b83266c51259fca27a7b0,0.0,0.0,0.0,0.0,0.0,1498550000000.0
a3f66c355ada23fc82327c01666c6c96,0.0,0.0,0.0,0.0,0.0,1496310000000.0
968c846001b4d9332b60931a57d67205,0.0,0.0,0.0,0.0,0.0,1495620000000.0
c90dd15cd5639aab4c20de69fa4cacda,0.0,0.0,0.0,0.0,0.0,1497430000000.0
482c3368d5b90aa7cf2d73e17e056d07,0.0,0.0,0.0,0.0,0.0,1490840000000.0
5da3675f7eb2b0310d07734c53e36a2f,0.0,0.0,0.0,0.0,0.0,1498720000000.0
667dfe3d2b27948749635c083ec7928d,0.0,0.0,0.0,0.0,0.0,1489710000000.0
0e2f78611bb79d80d711ced44b72f549,0.0,0.0,0.0,0.0,0.0,1489990000000.0
fe7de0ed8afb6f3526ae7080812679e0,0.0,0.0,0.0,0.0,0.0,1497670000000.0
10452d8dfbac6d16788e0a6202340a74,0.0,0.0,0.0,0.0,0.0,1494570000000.0
19d0e5db5fe77061c48128529691df35,0.0,0.0,0.0,0.0,0.0,1498610000000.0
8d5134fa120afccb3c1f2e4f6e48851b,0.0,0.0,0.0,0.0,0.0,1497250000000.0
25bbaba6dce21b2c2fcf75a2cb1e637c,0.0,0.0,0.0,0.0,0.0,1489390000000.0
b3bf9b480a96218b55dc623a43c3dd77,0.0,0.0,0.0,0.0,0.0,1502270000000.0
8fca361029eb428516e3f7679b2d0de2,0.0,0.0,0.0,0.0,0.0,1497410000000.0
eea7530f436b4b2612352542091c8a04,0.0,0.0,0.0,0.0,0.0,1495880000000.0
32f0f9cafb490f25f5affe4b3eaee120,0.0,0.0,0.0,0.0,0.0,1498810000000.0
e48d353952c3dd00311ed04509d533d6,0.0,0.0,0.0,0.0,0.0,1498740000000.0
86cba2f162e685b0eaf55acad008cf52,0.0,0.0,0.0,0.0,0.0,1495160000000.0
301d973c6b32cd498195a34dd679e799,0.0,0.0,0.0,0.0,0.0,1494910000000.0
9c0c1a7c4f379ad30f0197a69806160d,0.0,0.0,0.0,0.0,0.0,1495520000000.0
7d85e77a3701d45277c851e1658b7e37,0.0,0.0,0.0,0.0,0.0,1495240000000.0
249a3eb1f3eeda126a79b7ac51285f52,0.0,0.0,0.0,0.0,0.0,1497590000000.0
d956d66ffdfeb2b1ed388e3cedc6550f,0.0,0.0,0.0,0.0,0.0,1490940000000.0
42cc12bc7cda4c510e9e0350defd968c,0.0,0.0,0.0,0.0,0.0,1494890000000.0
1935b1de419a0fb7d96035d7026a04ac,0.0,0.0,0.0,0.0,0.0,1498210000000.0
1f5e08728d943469e38954617a0a1aac,0.0,0.0,0.0,0.0,0.0,1496480000000.0
42888ef3e00f8c7cb2f6b2e60ba5c8e5,0.0,0.0,0.0,0.0,0.0,1497940000000.0
828a968d4bebdba926b19dc2fbd60b33,0.0,0.0,0.0,0.0,0.0,1488260000000.0
e4348f71de07b2ddc5a9da723030996b,0.0,0.0,0.0,0.0,0.0,1490620000000.0
f096e93624baec0618c89c5a759b090f,0.0,0.0,0.0,0.0,0.0,1498470000000.0
f7f2a09d9102b0fa0365403bac3a5a0f,0.0,0.0,0.0,0.0,0.0,1495780000000.0
0eb8cc5812f1ad957aef9e8d88a02e19,0.0,0.0,0.0,0.0,0.0,1493960000000.0
23d6240a1010d976b9b2bbef9f49be0f,0.0,0.0,0.0,0.0,0.0,1493020000000.0
eab513119964faa6b0873a8a7ddf894e,0.0,0.0,0.0,0.0,0.0,1490860000000.0
147cce84ed434778948d8369958f5ac4,0.0,0.0,0.0,0.0,0.0,1490330000000.0
39c58f6306f81293105be8d28341c0b8,0.0,0.0,0.0,0.0,0.0,1496980000000.0
ddbd10e18a3f4fddfaa71a40e8238798,0.0,0.0,0.0,0.0,0.0,1497000000000.0
afa0ed5c5080e1beb61314c80af80492,0.0,0.0,0.0,0.0,0.0,1495870000000.0
84a69e1bbf73610e4406ae41260b10a3,0.0,0.0,0.0,0.0,0.0,1498800000000.0
ca3ba84ff7ad7274b867fac6d4041780,0.0,0.0,0.0,0.0,0.0,1490350000000.0
7d04eac94464da93663c489eec195eae,0.0,0.0,0.0,0.0,0.0,1491380000000.0
6965659a23237bfd563e1c0a0b7766c6,0.0,0.0,0.0,0.0,0.0,1494840000000.0
cf0dc5f5061ebed93bf8359bae5832b2,0.0,0.0,0.0,0.0,0.0,1497930000000.0
3cdb97faefd3f171aec050b5c1d7a903,0.0,0.0,0.0,0.0,0.0,1498100000000.0
805ea6fc6eda8137a94044aecdfd065a,0.0,0.0,0.0,0.0,0.0,1498800000000.0
3395390232ee8a9264a19344e2504a74,0.0,0.0,0.0,0.0,0.0,1496400000000.0
6809e3d279c5648e341c8d31806afb3f,0.0,0.0,0.0,0.0,0.0,1497320000000.0
82650218e56c961acc3467c3c90b9712,0.0,0.0,0.0,0.0,0.0,1493340000000.0
ef20cd739fcaf52196df3421dd27cbe0,0.0,0.0,0.0,0.0,0.0,1495440000000.0
064bea6a59585779904b0ce3faa5c8a0,0.0,0.0,0.0,0.0,0.0,1496920000000.0
