entname,is_brap
8c75d34d57a428695c3f16037534b8f6,1
746e10b6cbd17730244445443e1ced93,1
37b42d56c7828b5be2a1c5e370db8e59,1
bdb64f0d37877fadd579a0f62c19ca08,1
042c28228524b6a18009ca9e3fbb6f89,1
3d8709c812aa612df2ae046fedd6f2d6,3
d7a53be04656e8aca9751afa7c43e7cf,1
6c3b2297cb3dfb172d239bed45cc2c42,1
d019400d5d3ccba02971d40f9267e569,1
8146a8efeb4dab39b419a1c516deb801,1
5f32d581a5a4031c0be443db5ecba3e0,1
548a5eb81c7ae4362c85771b53ac44d6,1
cfef9a1ee68c4e9689f1b306f775d019,2
ebed76add8cd3439e52852159d1e33c3,1
cd9fa512ebafaa3f249f03a647024122,1
3ed20b30a9a13fbcf4445ea299ff219c,1
b1c3ad0a7c1ac0c0b3c3aa288cf2c509,2
b5008720df1bf1dbbd4ba7441b4776ea,1
527e46c290738439176fde80a625e247,1
584cd7fd0cacc23bf3b38c133a564a85,1
58c16a077ca21ccff344cd61ce75af51,4
c88a016085b23ca5654c4bdba42191cd,1
eebe154913b59e0e18e637847e0240b5,2
adc5998f1a4a50270b10f9af0dd6733d,1
822648bfda0f919b9be184e56564e588,1
cfd85e03e154dab2b86911f77e7c82bc,1
da920e20f4b637825b78a444069140f1,1
71c1c3555f8df9d1faf53c684c60fec5,1
5adc70e6d89ed4d0db0fa3c514eedffa,1
a445491d135f1edca42178240eb578fb,1
3964487ce6c5598c7cd44a7869a70cac,1
1850f8f5b6fe91956abc39d834a1619f,1
59f52682f9d53a063f37349aa7303d0b,1
5a18ec68d6fb5bd49f4455033c26e1a3,1
7762142af6bf5ebc2f8dd4677abac09f,1
29f414ef3c2c9d34000a2c37f78cc87b,1
26633f47d1a6276055050d90db3e07bb,1
87aa22427a68ccf737ae919f506d0bfd,2
3779e77346eabb29f80f3956b6cadbfb,1
5f74f606b857bb3645c4ad5c4cbd8644,1
7a87bd7fdbaa6c4ab6aa7ccb785cc20c,1
ff7200ddc32df2ce390d63eea7118065,1
218b5a8d391fc21730d63319c2bffb29,1
3dee6014c41094a9cacf5c3a94aaaf10,1
aa764a87633b922a00693501a2752de0,1
906143afbaeca20aeb85cc4a9b7b69c5,1
958fd00399f0b3533d9cfa992279b4af,2
6116de1795e8753decf8421c846768f7,1
6ed19c9ba03c7465cd25c5129b4a67df,2
2fd8c72f13733e16a47307a03b6cc14c,1
1f0e80cdc70b9494a50fb2e27f755e80,1
315925d3c75815f0d721a9fe0c7d3ef4,1
078b2f7390a83def066c42ac5f15e379,1
e6a368317a586154ea0ad359171e2007,1
dcc44d12eabc0136dc5f2ea529bf98b9,1
ee9c9c54af23fbbb3ee24ba519a39327,1
d6d85f25e632619b3592075753f7993e,1
921a8cd9a5154c8bf64df10260da498b,1
4f2b400d2f7e16c071ad87b9aca18110,1
999b75fd8f688de4b9d9c2c14b298b81,1
f9b3a9695b897e2f1319eaa7be7b9ee3,1
55d23af068d31150561d3bb92ec0d344,1
acdca370f01548e1a2a7d02cac6a4dd2,1
d66d6b64889c3da9c28a067b12ae188c,1
70ee514aa1ae5d9cb91ac1294ea27f01,1
8efb194fad9e93b11fa5be2bd25c2028,1
763f0278d0fc61d9a875f87be695e13d,2
6e791af967f0a40d80139cbee3cce764,1
f47e4c350d08ae730de7129249810945,1
8183a833c64534e3b2d6405d711d3123,2
9670c602b50257f8352742103b8da440,2
fcb96ee1a54dbea29ff1b756b72de53d,1
4fe6578fac4ccc304fcaecf4b15f5bb9,2
4f3855cd7472fccb2fa09761702a2054,1
00b751dc3b694755c35e109fa69d5b61,1
74e1513bc6b2081c807bd7f6568ecc35,1
8d2fc2016ca4536ede6d26f0edc177ac,1
77ef07e45ca2491fbf9744c805ec36e2,1
152b280d2173276461d163bbc4700c77,1
88c9347385ca7627cf5c57dcac25be69,1
5f624bbf1d3fc1cc056984b40a944897,1
