entname,ibrand_num
d703a569a24a4b0097a98a98c241e17d,1
e51d59e2528026acdae6cc84f9657fb2,1
08ecbf8ad1492b946f1f0d43116f4d53,1
4a329af6e4d97d29e9d2feeca3fe0652,1
0cdc290a0fb05e4d6f24cb25a4c305a5,1
fdc5f9d60076ad9706fc7daf9bc641be,2
7f424a5aa04064b5d3b6e12fd7b0ebd5,3
d9722ddc80420e0c8263866256cdcf79,2
75433234feb629be69c1e685a85d4857,1
724af492ff517f7da415b416ad4f1c2f,1
5c5d8f71e6d4c20c76b6b240c6e9605d,1
6cf26e6fb466b11250cc5a5b49d52721,1
8c4ede5d4cf8b78645421c5fc2a3b572,2
df7243be668302223115d83777020cee,1
3e8f125e58d255510629605144032c43,1
7aa3a013e3fc664d9d38c02ee43d8e55,1
0e19a962a54c005eddbd86506396bf16,1
a68ba959887d3817a5053212f7c628d9,1
da2497670c131c675b17034578a09448,1
cd57227f01dab008239c7f384602f2d3,1
c0e837f6380585622f2bfffaba876a6d,1
e0bbccab412abcc20567f36e1287babd,1
72d1410407dc0f8364019a49e444aa66,1
4e65f95f3c3de145421304e53804171d,1
9ca7bc30727365d185bad8f490c76da0,1
ad6b591c6034323b06dcc5783d366dbf,1
19a6da842c171484f3a64cb83ee297e8,1
2ec055efeaa0efafbf0f7677ec6d9faa,2
74e1513bc6b2081c807bd7f6568ecc35,3
7a7a9874889efcfef4f5cf58e97fc255,1
ef1decd56a741bd95e3dbb3a821a98ce,1
c118bd22c8c401245f5765ff6c3512c4,1
6f24959d6d47040985132bb7325ea47f,1
005f80a998cdd8b2fa8145cdf0135d21,1
7780b49da042e432389ad801074398aa,1
a912a02dc9315ac26e4a7af42909ba61,1
ecccc5f318392cc873062803e730de67,1
c83f9a43a976fdb1df5c10d0b439f6ba,1
664e4bb83b7272ed3ca2c099936daade,1
f5f7996eea2e9ebcc7698dc9aed0ab9c,1
fdf28ad8584588417887bc9945afcdf5,1
de00fff8d3efa5c69f57f9998eebdf58,1
f26f96d436716e1cb818182ad825d573,1
fb1405d331a6b87cb4605515beb52652,1
9e92886e14bad0e9f5e459c8937faac3,1
cee7a18f4221fe3b176f3e5ebdbfa534,1
cfca73dd26c37c88247d4e108d7a35a0,1
23c0a99ebf6d28ca4146bf2ef6649d2c,1
4053942ecd2b6c0a5396528a60492023,1
6799f30df41916ce09fdeabaccc50642,1
7aeb3b74bf10357240979b703c597075,1
e80b2e05cf6076015d4f1215ed9a1385,1
3dc21765958ed86f80137378b2d61fad,1
73d01a1f787021c3a2a8be925a45527b,1
df2e05327241f4f4c1103aac6637c349,1
6152a5480912cdb561cdca102c48639c,1
107e28c0b7a74f614b666f9d073197a4,2
f474d4dd45ad4e1fb3b641024188c800,1
7bacadb888a984075953da263b27a8fb,1
a69a75723bce70dd2125f0a6b22f88cf,1
76410b6705682a9f121592b42d94a393,1
e216b8d2967c8777a153ad7ab28c305e,1
32c5bc5b3e78802da8ea5a9fbb1e08ed,1
95d4abab6a0b9831f64905ebb379c1df,1
8c2b6f38118290bf12da36d56331ec38,1
8b54afd62b4c30476cc8f3251b948443,1
109d7dbccd918da8e2d36f65bec4a0f7,3
3fa111053eb4fcf1eae5f800780a0bb3,1
ae6e8ec9dde8626dc9738248c73e0ce3,1
58cee6f64b25f47cfbbc3d99ceda0cea,1
668bc19a4a109d632ccd964d98687b8a,1
b529a92b3a9ce8b5e1765fb9937b368a,1
86c10d69ead4c7859887e43e90462a44,1
a8145a0089daf51e948d0bdac4142132,1
1b91a3d602eea5c8ea13ab3d39352a08,2
9f7ae735257eba914d5b79021d614684,2
113697cbf269afa0793311e959647199,1
fe9f081ed0184af2fd1c20922316acad,1
